City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,alesund,62.4723,6.1549,5.18,59,75,14.4,NO,1706978850
294,bakanas,44.8081,76.2772,-6.81,87,31,1.9,KZ,1706978851
295,broken hill,-31.95,141.4333,27.84,16,98,3.95,AU,1706978851
296,terrace,54.5163,-128.6035,-4.32,100,40,0.0,CA,1706978851
297,ghazni,33.5536,68.4269,-1.4,95,98,0.87,AF,1706978851
298,grande prairie,55.1667,-118.8027,-10.9,79,20,4.12,CA,1706978578
299,severo-yeniseyskiy,60.3725,93.0408,-15.24,97,100,0.89,RU,1706978851
300,es castell,39.8795,4.2854,14.38,72,0,3.09,ES,1706978851
301,sitka,57.0531,-135.33,0.94,80,100,3.09,US,1706978835
302,zeya,53.75,127.2667,-29.17,99,12,1.34,RU,1706978852
303,donggang,28.9365,114.2259,1.29,94,100,0.71,CN,1706978852
304,hultsfred,57.4882,15.8436,3.99,69,20,7.66,SE,1706978852
305,guane,22.2025,-84.0875,25.35,52,1,4.35,CU,1706978852
306,wad rawah,15.1603,33.1397,23.08,13,6,5.24,SD,1706978852
307,carnarvon,-24.8667,113.6333,23.52,82,3,10.77,AU,1706978853
308,chonchi,-42.6128,-73.8092,20.19,38,39,1.22,CL,1706978852
309,kaiapoi,-43.3783,172.6401,7.83,93,36,1.54,NZ,1706978853
310,naha,26.2125,127.6811,23.38,89,75,4.63,JP,1706978853
311,remire-montjoly,4.9167,-52.2667,31.02,70,75,5.66,GF,1706978853
312,yeppoon,-23.1333,150.7333,24.88,73,5,5.2,AU,1706978854
313,reggane,26.7158,0.1714,21.25,16,0,5.96,DZ,1706978854
314,guatajiagua,13.6667,-88.2,31.88,40,1,1.75,SV,1706978854
315,sao felix do xingu,-6.6447,-51.995,29.54,61,84,2.07,BR,1706978782
316,sao joao da barra,-21.6403,-41.0511,32.05,78,85,4.3,BR,1706978854
317,zakamensk,50.3741,103.2863,-19.49,93,100,1.14,RU,1706978855
318,puerto leguizamo,-0.1934,-74.7819,26.8,89,98,1.19,CO,1706978855
319,holualoa,19.6228,-155.9522,18.91,91,0,10.8,US,1706978855
320,loch garman,52.3342,-6.4575,11.79,100,100,1.79,IE,1706978855
321,yaren,-0.5472,166.916,28.79,78,100,4.72,NR,1706978855
322,berezovyy,51.6667,135.7,-23.79,96,7,1.15,RU,1706978855
323,talipparamba,12.05,75.35,23.81,85,25,1.59,IN,1706978856
324,kerbakhiar,40.1067,46.0383,-6.52,76,44,3.53,AZ,1706978856
325,marka,1.7159,44.7717,26.13,84,35,8.78,SO,1706978856
326,miyaly,48.8844,53.7836,-4.62,92,36,4.69,KZ,1706978856
327,tsiombe,-25.3,45.4833,24.06,75,23,7.7,MG,1706978856
328,kapuskasing,49.4169,-82.4331,-1.95,68,20,4.63,CA,1706978854
329,wauchope,-31.45,152.7333,22.2,98,17,1.1,AU,1706978857
330,porto novo,6.4965,2.6036,32.9,42,96,3.78,BJ,1706978857
331,xapuri,-10.6517,-68.5044,34.27,46,10,1.82,BR,1706978857
332,teluk nibung,3.001,99.8164,25.22,87,100,1.7,ID,1706978857
333,lotoshino,56.2267,35.6414,-4.12,95,100,4.67,RU,1706978857
334,oppdal,62.5943,9.6912,-4.9,88,91,21.37,NO,1706978858
335,tangalle,6.024,80.7911,24.76,86,53,3.25,LK,1706978620
336,berdigestyakh,62.0989,126.6992,-36.03,100,79,1.17,RU,1706978858
337,road town,18.4167,-64.6167,28.02,57,20,2.57,VG,1706978858
338,denia,38.8408,0.1057,15.77,68,5,0.89,ES,1706978858
339,tabou,4.423,-7.3528,29.62,69,100,4.22,CI,1706978858
340,port hedland,-20.3167,118.5667,28.03,83,60,9.26,AU,1706978859
341,pontianak,-0.0333,109.3333,24.99,100,40,1.03,ID,1706978859
342,aykhal,66.0,111.5,-27.93,64,83,1.67,RU,1706978859
343,klaksvik,62.2266,-6.589,2.51,74,100,14.05,FO,1706978859
344,tyukhtet,56.5389,89.3011,-11.57,95,95,1.57,RU,1706978859
345,tucuma,-0.1833,-50.05,29.71,66,66,2.49,BR,1706978859
346,rio grande,-32.035,-52.0986,33.06,63,7,4.38,BR,1706978860
347,ambon,-3.6954,128.1814,27.27,13,40,1.03,ID,1706978860
348,berezovo,63.9381,65.0419,-24.29,100,56,1.95,RU,1706978860
349,ankang,32.68,109.0172,1.31,75,97,2.39,CN,1706978860
350,bethanie,-26.4833,17.15,27.38,49,41,14.12,NA,1706978860
351,zeribet el oued,34.6828,6.5111,16.66,43,0,2.32,DZ,1706978861
352,fortuna,40.5982,-124.1573,6.63,94,75,6.17,US,1706978861
353,vegreville,53.5001,-112.0518,-0.7,93,100,3.6,CA,1706978680
354,calvinia,-31.4707,19.776,29.88,34,62,7.92,ZA,1706978861
355,taxco de alarcon,18.55,-99.6,21.53,26,1,2.06,MX,1706978861
356,berryville,36.3648,-93.568,13.36,78,100,5.15,US,1706978861
357,san andres,12.5847,-81.7006,29.01,65,20,1.54,CO,1706978796
358,klyuchi,52.2667,79.1667,-5.53,84,100,7.2,RU,1706978862
359,shortandy,51.7006,70.9994,-5.75,95,100,6.85,KZ,1706978862
360,nerac,44.1333,0.35,8.62,100,100,1.03,FR,1706978862
361,kualakapuas,-3.0091,114.3876,23.78,98,100,0.39,ID,1706978862
